"Gene.ID"	"Gene.symbol"
"399687///9220"	"MYO18A///TIAF1"
"112483"	"SAT2"
"133686"	"NADK2"
"55103"	"RALGPS2"
"55647"	"RAB20"
"7637"	"ZNF84"
"80018"	"NAA25"
"7072"	"TIA1"
"162989"	"DEDD2"
"653519///51463"	"GPR89A///GPR89B"
"5928"	"RBBP4"
"4176"	"MCM7"
"50802///3514"	"IGK///IGKC"
"51474"	"LIMA1"
"51097"	"SCCPDH"
"80018"	"NAA25"
"9860"	"LRIG2"
"57583"	"TMEM181"
"26005"	"C2CD3"
"54806"	"AHI1"
"50802///3514"	"IGK///IGKC"
"79718"	"TBL1XR1"
"3494///3493///3492"	"IGHA2///IGHA1///IGH"
"5451"	"POU2F1"
"23157"	"SEPT6"
"10240"	"MRPS31"
"23192"	"ATG4B"
"23001"	"WDFY3"
"5380"	"PMS2P2"
"22880"	"MORC2"
"835"	"CASP2"
"4000"	"LMNA"
"57209"	"ZNF248"
"51701"	"NLK"
"60370"	"AVPI1"
"135293"	"PM20D2"
"7072"	"TIA1"
"27342"	"RABGEF1"
"55120"	"FANCL"
"7127"	"TNFAIP2"
"23126"	"POGZ"
""	""
"92806"	"CENPBD1"
"64288"	"ZSCAN31"
"11180"	"WDR6"
"3837"	"KPNB1"
"728661///9906"	"SLC35E2B///SLC35E2"
""	""
"79621"	"RNASEH2B"
"5611"	"DNAJC3"
"144245///84920"	"ALG10B///ALG10"
"10927"	"SPIN1"
"55900"	"ZNF302"
"1317"	"SLC31A1"
"81627"	"TRMT1L"
"9140"	"ATG12"
"51752"	"ERAP1"
"286530"	"P2RY8"
"55657"	"ZNF692"
"51278"	"IER5"
"203228"	"C9orf72"
"55035"	"NOL8"
"5387"	"PMS2P3"
"25814"	"ATXN10"
"6448"	"SGSH"
"23177"	"CEP68"
"64755"	"C16orf58"
"11116"	"FGFR1OP"
"11116"	"FGFR1OP"
"151050"	"KANSL1L"
"55197"	"RPRD1A"
"29950"	"SERTAD1"
"28986"	"MAGEH1"
""	""
"253782"	"CERS6"
"22868"	"FASTKD2"
"10146"	"G3BP1"
"85403"	"EAF1"
"5001"	"ORC5"
""	""
"55654"	"TMEM127"
"51691"	"LSM8"
"199953"	"TMEM201"
"6515"	"SLC2A3"
"9315"	"NREP"
"8629"	"JRK"
"57492"	"ARID1B"
"7030"	"TFE3"
"23556"	"PIGN"
"2926"	"GRSF1"
"55835"	"CENPJ"
"9788"	"MTSS1"
"114885"	"OSBPL11"
"10594"	"PRPF8"
"83692"	"CD99L2"
"7072"	"TIA1"
"5326"	"PLAGL2"
"643253///643180"	"CCT6P1///CCT6P3"
"7128"	"TNFAIP3"
"57185"	"NIPAL3"
"5591"	"PRKDC"
"6666"	"SOX12"
"148268"	"ZNF570"
""	""
"126917"	"IFFO2"
"55342"	"STRBP"
"6236"	"RRAD"
"83478"	"ARHGAP24"
"23269"	"MGA"
"7570"	"ZNF22"
"90624"	"LYRM7"
"2776"	"GNAQ"
"79731"	"NARS2"
"55326"	"AGPAT5"
"23306"	"NEMP1"
"79895"	"ATP8B4"
"54799"	"MBTD1"
"79692"	"ZNF322"
"170959"	"ZNF431"
"23198"	"PSME4"
"57147"	"SCYL3"
"5884"	"RAD17"
"57223"	"PPP4R3B"
"88745"	"RRP36"
"8833"	"GMPS"
"645644"	"FLJ42627"
"3784"	"KCNQ1"
"55128"	"TRIM68"
"11031"	"RAB31"
"9284"	"NPIPA1"
""	""
"84131"	"CEP78"
"150759"	"LINC00342"
"432"	"ASGR1"
"6565"	"SLC15A2"
"2175"	"FANCA"
"201176"	"ARHGAP27"
"84270"	"CARD19"
"114991"	"ZNF618"
"9761"	"MLEC"
""	""
"90637"	"ZFAND2A"
"84919"	"PPP1R15B"
"10051"	"SMC4"
"57597"	"BAHCC1"
"27430"	"MAT2B"
"101410538"	"MMP24-AS1"
""	""
"101929243"	"LOC101929243"
"102466270///29920"	"MIR6741///PYCR2"
"7770"	"ZNF227"
"123811"	"FOPNL"
"7769"	"ZNF226"
"64770"	"CCDC14"
"442578"	"STAG3L3"
"56915"	"EXOSC5"
"7124"	"TNF"
"1021"	"CDK6"
"9203"	"ZMYM3"
"79649"	"MAP7D3"
"11083"	"DIDO1"
"90861"	"HN1L"
""	""
"64755"	"C16orf58"
"30827"	"CXXC1"
"142891"	"SAMD8"
"51692"	"CPSF3"
"54903"	"MKS1"
"64318"	"NOC3L"
"54916"	"TMEM260"
"3514"	"IGKC"
"84450"	"ZNF512"
"960"	"CD44"
"100287902"	"LGALS8-AS1"
"163486"	"DENND1B"
"5000"	"ORC4"
"8458"	"TTF2"
"57559"	"STAMBPL1"
"85413"	"SLC22A16"
"5001"	"ORC5"
"3796"	"KIF2A"
"6016"	"RIT1"
"102466270///29920"	"MIR6741///PYCR2"
"2188"	"FANCF"
"90624"	"LYRM7"
"143187"	"VTI1A"
"1848"	"DUSP6"
"102465532///5187"	"MIR6883///PER1"
"55028"	"C17orf80"
"25913"	"POT1"
"692099///653333///653113///85002///55199"	"FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1"
"1032"	"CDKN2D"
"808///805///801"	"CALM3///CALM2///CALM1"
"23157"	"SEPT6"
"83852"	"SETDB2"
"50717"	"DCAF8"
"64581"	"CLEC7A"
"100534595///26580"	"HNRNPUL2-BSCL2///BSCL2"
"23341"	"DNAJC16"
"6827"	"SUPT4H1"
"9817"	"KEAP1"
"101730217///135"	"SPECC1L-ADORA2A///ADORA2A"
"643836"	"ZFP62"
"64581"	"CLEC7A"
"80227"	"PAAF1"
"54585"	"LZTFL1"
"93622"	"LOC93622"
"286205"	"SCAI"
"23731"	"TMEM245"
"6428"	"SRSF3"
"441263"	"DTX2P1-UPK3BP1-PMS2P11"
"4814"	"NINJ1"
"55164"	"SHQ1"
""	""
"9669"	"EIF5B"
"5527"	"PPP2R5C"
"51296"	"SLC15A3"
"57534"	"MIB1"
"389906"	"LOC389906"
"25845"	"PP7080"
"81931"	"ZNF93"
"9678"	"PHF14"
"146198"	"ZFP90"
"7029"	"TFDP2"
"55250"	"ELP2"
"100532732///401251///4439"	"MSH5-SAPCD1///SAPCD1///MSH5"
"55278"	"QRSL1"
"1663"	"DDX11"
"81553"	"FAM49A"
"404093"	"CUEDC1"
"847"	"CAT"
"27086"	"FOXP1"
"6304"	"SATB1"
"5379"	"PMS2P1"
"79657"	"RPAP3"
"79829"	"NAA40"
"6738"	"TROVE2"
"144245///84920"	"ALG10B///ALG10"
"10419"	"PRMT5"
"64766"	"S100PBP"
"285381"	"DPH3"
"4775"	"NFATC3"
"219988"	"PATL1"
"55347"	"ABHD10"
"132789"	"GNPDA2"
"158427///7111"	"TSTD2///TMOD1"
"4580"	"MTX1"
"4172"	"MCM3"
"10620"	"ARID3B"
"3837"	"KPNB1"
"2956"	"MSH6"
"6683"	"SPAST"
"57465"	"TBC1D24"
""	""
"642"	"BLMH"
"3418"	"IDH2"
"9557"	"CHD1L"
"144423"	"GLT1D1"
"10772"	"SRSF10"
"102606465"	"LOC102606465"
"1070"	"CETN3"
"9331"	"B4GALT6"
"389677"	"RBM12B"
"100101467"	"ZSCAN30"
"114991"	"ZNF618"
"55342"	"STRBP"
"79180"	"EFHD2"
"54734"	"RAB39A"
"642846///440081///1663"	"LOC642846///DDX12P///DDX11"
"387032"	"ZKSCAN4"
"3726"	"JUNB"
"2744"	"GLS"
"9793"	"CKAP5"
"10135"	"NAMPT"
"2135"	"EXTL2"
"100131067"	"CKMT2-AS1"
"23369"	"PUM2"
"55650"	"PIGV"
""	""
"57634"	"EP400"
"987"	"LRBA"
"55975"	"KLHL7"
"23008"	"KLHDC10"
"79728"	"PALB2"
"51752"	"ERAP1"
"5889"	"RAD51C"
"54476"	"RNF216"
"114769"	"CARD16"
"5912"	"RAP2B"
"55326"	"AGPAT5"
"55361"	"PI4K2A"
"84961"	"FBXL20"
"474170"	"LRRC37A2"
"90592"	"ZNF700"
"90861"	"HN1L"
"168544"	"ZNF467"
"26258"	"BLOC1S6"
"348995"	"NUP43"
"353514"	"LILRA5"
"55000"	"TUG1"
"546"	"ATRX"
"23731"	"TMEM245"
"10013"	"HDAC6"
"3998"	"LMAN1"
"7779"	"SLC30A1"
"115209///1600"	"OMA1///DAB1"
"51429"	"SNX9"
"102724993///101930075///101059953///101059938///100288332///642799///642778///339044///9284"	"LOC102724993///LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1"
"6760"	"SS18"
"285343"	"TCAIM"
"55578"	"SUPT20H"
"7675"	"ZNF121"
"653519///51463"	"GPR89A///GPR89B"
"353514"	"LILRA5"
"80298"	"MTERF2"
"9656"	"MDC1"
"22869"	"ZNF510"
"60526"	"LDAH"
"9315"	"NREP"
"55707"	"NECAP2"
"126549"	"ANKLE1"
"7559"	"ZNF12"
"463"	"ZFHX3"
"401115"	"C4orf48"
"23673"	"STX12"
"26060"	"APPL1"
"9702"	"CEP57"
"23328"	"SASH1"
"9968"	"MED12"
"60559"	"SPCS3"
"219743"	"TYSND1"
"10155"	"TRIM28"
"5048"	"PAFAH1B1"
"51495"	"HACD3"
"152007"	"GLIPR2"
"9937"	"DCLRE1A"
"6948"	"TCN2"
"203547"	"VMA21"
"100526836///81567"	"BLOC1S5-TXNDC5///TXNDC5"
"7316"	"UBC"
"11116"	"FGFR1OP"
"23195"	"MDN1"
"9409"	"PEX16"
"4801"	"NFYB"
"58509"	"CACTIN"
"9330"	"GTF3C3"
"23157"	"SEPT6"
"90271///25845"	"OLMALINC///PP7080"
"90007"	"MIDN"
"375056"	"MIA3"
"1615"	"DARS"
"10749"	"KIF1C"
"170959"	"ZNF431"
"283337"	"ZNF740"
"9748"	"SLK"
"23157"	"SEPT6"
"894"	"CCND2"
"254048"	"UBN2"
"84938"	"ATG4C"
"57724"	"EPG5"
"55745"	"AP5M1"
"6597"	"SMARCA4"
"81579"	"PLA2G12A"
"5566"	"PRKACA"
"474170"	"LRRC37A2"
"10087"	"COL4A3BP"
"23099"	"ZBTB43"
"440138///9724"	"ALG11///UTP14C"
"29929"	"ALG6"
"23406"	"COTL1"
"3091"	"HIF1A"
""	""
"57472"	"CNOT6"
"54758"	"KLHDC4"
"51701"	"NLK"
"51315"	"KRCC1"
"153020"	"RASGEF1B"
"91298"	"C12orf29"
"9595"	"CYTIP"
"10799"	"RPP40"
"2193"	"FARSA"
"353274"	"ZNF445"
"51108"	"METTL9"
"55342"	"STRBP"
"23731"	"TMEM245"
"23613"	"ZMYND8"
"6016"	"RIT1"
"81844"	"TRIM56"
"148327"	"CREB3L4"
"284207"	"METRNL"
"7621"	"ZNF70"
"1839"	"HBEGF"
"11051"	"NUDT21"
"7430"	"EZR"
"6929"	"TCF3"
"338758"	"LINC00936"
"133"	"ADM"
"6397"	"SEC14L1"
"8241"	"RBM10"
"7013"	"TERF1"
"25978"	"CHMP2B"
"3635"	"INPP5D"
"80317"	"ZKSCAN3"
"54849"	"DEF8"
"6229"	"RPS24"
"84937"	"ZNRF1"
"56916"	"SMARCAD1"
"9470"	"EIF4E2"
"2672"	"GFI1"
"51228"	"GLTP"
"653519///51463"	"GPR89A///GPR89B"
"50999"	"TMED5"
"57510"	"XPO5"
"55170"	"PRMT6"
"100129518///6648"	"LOC100129518///SOD2"
"57511"	"COG6"
"3383"	"ICAM1"
"116138"	"KLHDC3"
"23389"	"MED13L"
""	""
"9735"	"KNTC1"
""	""
"6448"	"SGSH"
"11019"	"LIAS"
"1545"	"CYP1B1"
"4678"	"NASP"
"56242"	"ZNF253"
"55770"	"EXOC2"
""	""
"11196"	"SEC23IP"
"64172"	"OSGEPL1"
"124935"	"SLC43A2"
"6432"	"SRSF7"
"3572"	"IL6ST"
"40"	"ASIC2"
"3556"	"IL1RAP"
"100532732///401251"	"MSH5-SAPCD1///SAPCD1"
"4676"	"NAP1L4"
"55154"	"MSTO1"
"11232"	"POLG2"
"4649"	"MYO9A"
"55650"	"PIGV"
"100291323"	"LOC100291323"
"10606"	"PAICS"
"4833"	"NME4"
"102157402"	"AK6"
"4792"	"NFKBIA"
"30001"	"ERO1A"
"148266"	"ZNF569"
"4026"	"LPP"
"90488"	"TMEM263"
"80746"	"TSEN2"
""	""
"192669"	"AGO3"
"55197"	"RPRD1A"
""	""
"140707"	"BRI3BP"
"545"	"ATR"
"5189"	"PEX1"
"10099"	"TSPAN3"
"10135"	"NAMPT"
"128866"	"CHMP4B"
"9935"	"MAFB"
"29946"	"SERTAD3"
"5343///5342"	"PLGLB1///PLGLB2"
"6599"	"SMARCC1"
"6726"	"SRP9"
"5778"	"PTPN7"
"23065"	"EMC1"
"100526794///57665"	"NT5C1B-RDH14///RDH14"
"117289"	"TAGAP"
"10135"	"NAMPT"
"55055"	"ZWILCH"
"81691"	"LOC81691"
"5209"	"PFKFB3"
"55250"	"ELP2"
"146712"	"B3GNTL1"
""	""
"5806"	"PTX3"
"101060373///408050///283820///23420"	"LOC101060373///NOMO3///NOMO2///NOMO1"
""	""
"26036"	"ZNF451"
"3635"	"INPP5D"
"9913"	"SUPT7L"
"1788"	"DNMT3A"
"9675"	"TTI1"
"10363"	"HMG20A"
"64651"	"CSRNP1"
"5337"	"PLD1"
"27292"	"DIMT1"
"25842"	"ASF1A"
"10618"	"TGOLN2"
"101927266///55764"	"LOC101927266///IFT122"
""	""
"8856"	"NR1I2"
"10613"	"ERLIN1"
"382"	"ARF6"
"147798"	"TMC4"
"51768"	"TM7SF3"
"55183"	"RIF1"
"8504"	"PEX3"
"9094"	"UNC119"
"51306"	"FAM13B"
"80853"	"KDM7A"
""	""
"889"	"KRIT1"
"84318"	"CCDC77"
"55832"	"CAND1"
"389906"	"LOC389906"
"64421"	"DCLRE1C"
"23386"	"NUDCD3"
"22909"	"FAN1"
"1545"	"CYP1B1"
"55164"	"SHQ1"
"91151"	"TIGD7"
"7716"	"VEZF1"
"79598"	"CEP97"
"126231"	"ZNF573"
"7940"	"LST1"
"51530"	"ZC3HC1"
"253827"	"MSRB3"
"65056"	"GPBP1"
"23136"	"EPB41L3"
"10198"	"MPHOSPH9"
"255520"	"ELMOD2"
"23451"	"SF3B1"
"50802///3514"	"IGK///IGKC"
"53944"	"CSNK1G1"
"1839"	"HBEGF"
"23001"	"WDFY3"
"400657"	"LINC00909"
"6016"	"RIT1"
"2550"	"GABBR1"
"9693"	"RAPGEF2"
"11146"	"GLMN"
"84656///23157"	"GLYR1///SEPT6"
"3093"	"UBE2K"
"58477"	"SRPRB"
"7637"	"ZNF84"
"23369"	"PUM2"
"10018"	"BCL2L11"
"84247"	"LDOC1L"
"7268"	"TTC4"
"51315"	"KRCC1"
"25797"	"QPCT"
"63931"	"MRPS14"
"51495"	"HACD3"
"55239"	"OGFOD1"
"7553"	"ZNF7"
"5987"	"TRIM27"
"389906"	"LOC389906"
"1051"	"CEBPB"
"5467"	"PPARD"
"54472"	"TOLLIP"
"3162"	"HMOX1"
"8553"	"BHLHE40"
"81579"	"PLA2G12A"
"54881"	"TEX10"
"100506844"	"LOC100506844"
"1847"	"DUSP5"
"4084"	"MXD1"
"57147"	"SCYL3"
"84342"	"COG8"
"55669"	"MFN1"
"51733"	"UPB1"
"8522"	"GAS7"
"55578"	"SUPT20H"
"8915"	"BCL10"
"81618"	"ITM2C"
"100129460"	"DPY19L1P1"
"5966"	"REL"
"55920"	"RCC2"
"6117"	"RPA1"
"3383"	"ICAM1"
"55726"	"ASUN"
"3587"	"IL10RA"
"6891"	"TAP2"
"57561"	"ARRDC3"
"22941"	"SHANK2"
"10128"	"LRPPRC"
"55705"	"IPO9"
"84285"	"EIF1AD"
"23527"	"ACAP2"
"101410538"	"MMP24-AS1"
"51303"	"FKBP11"
"4794"	"NFKBIE"
"7940"	"LST1"
"83931"	"STK40"
"55361"	"PI4K2A"
"7411"	"VBP1"
""	""
"79680///54584"	"C22orf29///GNB1L"
"102465438///80149"	"MIR6732///ZC3H12A"
"84696"	"ABHD1"
"9202"	"ZMYM4"
"4869"	"NPM1"
"1663"	"DDX11"
"80139"	"ZNF703"
"102724851"	"LOC102724851"
"10614"	"HEXIM1"
"83746"	"L3MBTL2"
"9939"	"RBM8A"
"55706"	"NDC1"
"220213"	"OTUD1"
"171023"	"ASXL1"
"55037"	"PTCD3"
"55720"	"TSR1"
"9939"	"RBM8A"
"7090"	"TLE3"
"56652"	"C10orf2"
"8396"	"PIP4K2B"
"10970"	"CKAP4"
"998"	"CDC42"
"219899"	"TBCEL"
""	""
"54954"	"FAM120C"
"2935"	"GSPT1"
"50802///3514"	"IGK///IGKC"
"55156"	"ARMC1"
"6386"	"SDCBP"
"79033"	"ERI3"
"399972"	"ST3GAL4-AS1"
"3490"	"IGFBP7"
"22933"	"SIRT2"
"64421"	"DCLRE1C"
"414062///6349///6348"	"CCL3L3///CCL3L1///CCL3"
"128710"	"SLX4IP"
"283431"	"GAS2L3"
"54978"	"SLC35F6"
"5618"	"PRLR"
"54841"	"BIVM"
"220213"	"OTUD1"
"7538"	"ZFP36"
"81627"	"TRMT1L"
"219743"	"TYSND1"
"55857"	"KIZ"
""	""
"10087"	"COL4A3BP"
"6599"	"SMARCC1"
"55239"	"OGFOD1"
"7596"	"ZNF45"
"127544"	"RNF19B"
"145783///54816"	"LOC145783///ZNF280D"
"79134"	"TMEM185B"
"7581"	"ZNF33A"
"100847052///677835///1736"	"MIR664B///SNORA56///DKC1"
"127733"	"UBXN10"
""	""
"25798"	"BRI3"
"80063"	"ATF7IP2"
"152926"	"PPM1K"
"863"	"CBFA2T3"
"144348"	"ZNF664"
"94039"	"ZNF101"
"25948"	"KBTBD2"
"4799"	"NFX1"
"554203"	"JPX"
"1629"	"DBT"
"55361"	"PI4K2A"
"6351"	"CCL4"
"55197"	"RPRD1A"
"54557"	"SGTB"
"5567"	"PRKACB"
"26060"	"APPL1"
"26057"	"ANKRD17"
"1836"	"SLC26A2"
"1848"	"DUSP6"
"5532"	"PPP3CB"
"26127"	"FGFR1OP2"
"54726"	"OTUD4"
"527"	"ATP6V0C"
"159195"	"USP54"
"283849"	"EXOC3L1"
"427"	"ASAH1"
"11168"	"PSIP1"
"10209"	"EIF1"
"54583"	"EGLN1"
"4801"	"NFYB"
"8603"	"FAM193A"
"1843"	"DUSP1"
"55014"	"STX17"
"8504"	"PEX3"
"22954"	"TRIM32"
"26091"	"HERC4"
"51409"	"HEMK1"
"11091"	"WDR5"
"134145"	"FAM173B"
"26015"	"RPAP1"
"4953"	"ODC1"
"672"	"BRCA1"
"343099"	"CCDC18"
"55746"	"NUP133"
"3841"	"KPNA5"
"5356"	"PLRG1"
"7024"	"TFCP2"
"10244"	"RABEPK"
"10299"	"MARCH6"
"11186"	"RASSF1"
"3709"	"ITPR2"
"1479"	"CSTF3"
"65110"	"UPF3A"
"11026"	"LILRA3"
"4616"	"GADD45B"
"23533"	"PIK3R5"
"102659353///140707"	"THRIL///BRI3BP"
"64924"	"SLC30A5"
"7626"	"ZNF75D"
"2773"	"GNAI3"
"494150"	"PHBP19"
"11198"	"SUPT16H"
"3376"	"IARS"
"27429"	"HTRA2"
""	""
"101928747///27316///26787"	"LOC101928747///RBMX///SNORD61"
"6908"	"TBP"
"808///805///801"	"CALM3///CALM2///CALM1"
"27243"	"CHMP2A"
"2802"	"GOLGA3"
"1653"	"DDX1"
"91"	"ACVR1B"
"26258"	"BLOC1S6"
""	""
"102465532///5187"	"MIR6883///PER1"
"51520"	"LARS"
"113802"	"HENMT1"
"100529257///55333"	"SYNJ2BP-COX16///SYNJ2BP"
"7157"	"TP53"
"1024"	"CDK8"
"11031"	"RAB31"
"64581"	"CLEC7A"
"100533955///26168"	"SENP3-EIF4A1///SENP3"
"100303755///57325"	"PET117///KAT14"
"23065"	"EMC1"
"5277"	"PIGA"
"102465529///80222"	"MIR6878///TARS2"
"100529215///7730"	"ZNF559-ZNF177///ZNF177"
"442582///442578///54441"	"STAG3L2///STAG3L3///STAG3L1"
"84937"	"ZNRF1"
"100302138///692213///692201///26792///10528"	"MIR1292///SNORD110///SNORD86///SNORD57///NOP56"
"79876"	"UBA5"
"2204"	"FCAR"
"10949"	"HNRNPA0"
"4798"	"NFRKB"
"85450"	"ITPRIP"
"7439"	"BEST1"
"64092"	"SAMSN1"
"23033"	"DOPEY1"
"23417"	"MLYCD"
"221955"	"DAGLB"
"10294"	"DNAJA2"
"5862"	"RAB2A"
"26235"	"FBXL4"
"10910"	"SUGT1"
"92806"	"CENPBD1"
"23545"	"ATP6V0A2"
"2060"	"EPS15"
"3720"	"JARID2"
"7372"	"UMPS"
"23511"	"NUP188"
"83852"	"SETDB2"
"9202"	"ZMYM4"
"2967"	"GTF2H3"
"705"	"BYSL"
"7940"	"LST1"
"100507249"	"C8orf17"
"93594"	"TBC1D31"
"128866"	"CHMP4B"
"283788"	"LOC283788"
"80150"	"ASRGL1"
"51768"	"TM7SF3"
"84437"	"MSANTD4"
"26160"	"IFT172"
"10018"	"BCL2L11"
"84365"	"NIFK"
""	""
"6654"	"SOS1"
"25976"	"TIPARP"
""	""
"3609"	"ILF3"
"145508"	"CEP128"
"3725"	"JUN"
"55226"	"NAT10"
""	""
"55756"	"INTS9"
"4595"	"MUTYH"
"10254"	"STAM2"
"1861"	"TOR1A"
"113251"	"LARP4"
"55073"	"LRRC37A4P"
"84181"	"CHD6"
"23598"	"PATZ1"
"102466747///101752399///29990"	"MIR6840///STAG3L5P-PVRIG2P-PILRB///PILRB"
